radio@launch	我好想听新城知讯台	o o o o b-name i-name i-name i-name i-name
cookbook@query	那烤箱做面包怎么做？	o o o o b-dishname i-dishname o o o o
translation@translation	用英语怎么讲	b-content b-target i-target o o o
novel@query	我要看古言小说	o o o b-category i-category o o
video@query	九阴真经	b-name i-name i-name i-name
cookbook@query	了，鸡蛋怎么做？	o o b-ingredient i-ingredient o o o o
stock@query	亚洲能源物流股票	b-name i-name i-name i-name i-name i-name o o
epg@query	北京生活频道节目单	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
riddle@query	来一个字谜，二。	o o o b-category i-category o o o
health@query	近视眼怎么治疗	b-keyword i-keyword i-keyword o o o o
epg@query	明天晚上湖南卫视演什么电视剧	b-datetime_date i-datetime_date b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o b-category i-category i-category
message@send	给晓琴发短信你在干吗	o b-name i-name o o o b-content i-content i-content i-content
train@query	贵阳至长沙的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
cookbook@query	怎样蒸排骨最好吃的。	o o b-dishname i-dishname i-dishname o o o o o
website@open	打开苹果香港官方网站	o o b-name i-name i-name i-name i-name i-name i-name i-name
poetry@query	各来一首李白的诗词。	o o o o b-author i-author o o o o
map@position	合肥的大润发在哪	b-location_city i-location_city o b-location_poi i-location_poi i-location_poi o o
poetry@query	那你背首唐诗给我听。	o o o o b-dynasty o o o o o
telephone@dial	打电话给魏文强	o o o o b-name i-name i-name
music@play	我想听春天里这首歌	o o o b-song i-song i-song o o o
stock@query	查找科大讯飞股票的股价	o o b-name i-name i-name i-name o o o o o
map@position	武汉理工大学在哪	b-location_poi i-location_poi i-location_poi i-location_poi i-location_poi i-location_poi o o
translation@translation	我想吃汉堡包的英文怎么说	b-content i-content i-content i-content i-content i-content o b-target i-target o o o
cookbook@query	做红烧肉要哪些材料呀！	o b-dishname i-dishname i-dishname o o o o o o o
epg@query	湖南卫视有什么节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o
cookbook@query	啤酒鸭怎么做？	b-dishname i-dishname i-dishname o o o o
bus@query	从温州到西安的汽车。	o b-src i-src o b-dest i-dest o o o o
translation@translation	我要买电脑的英语怎么说	b-content i-content i-content i-content i-content o b-target i-target o o o
website@open	请帮我打开网站	o o o o o o o
cookbook@query	帮我查一下红烧肉的做法	o o o o o b-dishname i-dishname i-dishname o o o
flight@query	查询明天南阳到上海的航班	o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
radio@launch	麻烦您可不可以帮我调频99.3嘉善人民广播电台	o o o o o o o o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name
tvchannel@play	哦我想看中央一台	o o o o b-name i-name i-name i-name
epg@query	找找非诚勿扰什么时候结束	o o b-name i-name i-name i-name o o o o o o
translation@translation	我今天帮爷爷洗衣服的英文怎么说	b-content i-content i-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
telephone@dial	拨号曹兴发	o o b-name i-name i-name
telephone@dial	打给宋成钢	o o b-name i-name i-name
stock@query	查询海螺水泥的股票	o o b-name i-name i-name i-name o o o
bus@query	济南去聊城的汽车。	b-src i-src o b-dest i-dest o o o o
telephone@query	陈周的电话号码是多少	b-name i-name o o o o o o o o
telephone@dial	打给孩子的爸	o o b-name i-name i-name i-name
cookbook@query	做酸菜鱼。	o b-dishname i-dishname i-dishname o
app@query	搜索米聊	o o b-name i-name
video@query	我想看电影台北飘雪	o o o b-category i-category b-name i-name i-name i-name
message@send	发短信给张三的186的号码我今天请他吃饭	o o o o b-name i-name o b-headnum i-headnum i-headnum o o o b-content i-content i-content i-content i-content i-content i-content
cinemas@query	搜索热门电影。	o o o o o o o
website@open	打开骏网一卡通	o o b-name i-name i-name i-name i-name
tvchannel@play	高清广东台	b-resolution i-resolution b-name i-name i-name
flight@query	查询郑州到上海的航班。	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
flight@query	查询4月1号从武汉到广州的航班	o o b-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
train@query	可以帮买火车票吗	o o o o o o o o
poetry@query	人死原知万事空下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
telephone@dial	打电话给吴荣因	o o o o b-name i-name i-name
email@launch	给我看邮件	o o o o o
message@send	给刘西发短信	o b-name i-name o o o
riddle@query	那来个灯谜吧！	o o o b-category i-category o o
stock@query	万科a股票	b-name i-name i-name o o
message@send	给园园发短信	o b-name i-name o o o
cookbook@query	鸭蛋怎么腌？	b-ingredient i-ingredient o o o o
video@query	中国最强音	b-name i-name i-name i-name i-name
map@position	广东省英德在哪里	b-location_province i-location_province i-location_province b-location_area i-location_area o o o
email@create	我要写条新邮件	o o o o o o o
cookbook@query	红烧排骨怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
video@query	搜索下绿巨人	o o o b-name i-name i-name
cookbook@query	鲜肉玉米羹怎么做？	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
message@sendcontacts	把小新的号码发给徐云蔚	o b-name i-name o o o o o b-receiver i-receiver i-receiver
epg@query	湖南台演什么节目	b-tvchannel i-tvchannel i-tvchannel o o o o o
epg@query	哪个电视台在演叶问。	o o o o o o o b-name i-name o
cookbook@query	帮我查一下可乐鸡翅怎么做？	o o o o o b-dishname i-dishname i-dishname i-dishname o o o o
message@sendcontacts	把孟蕾的电话发给陈姬	o b-name i-name o o o o o b-receiver i-receiver
website@open	赶集网	b-name i-name i-name
cookbook@query	民间小炒肉的做法。	o o b-dishname i-dishname i-dishname o o o o
cookbook@query	简单的，糖醋排骨怎么做？	o o o o b-dishname i-dishname i-dishname i-dishname o o o o
stock@query	今天上证指数是几点	o o b-name i-name i-name i-name o o o
cookbook@query	教我怎么做红烧肉	o o o o o b-dishname i-dishname i-dishname
cinemas@query	嘉禾电影院正在上映的大片	b-theatre i-theatre i-theatre i-theatre i-theatre o o o o o o o
news@play	么，哥来一下最新的新闻。	o o o o o o o o o o o o
flight@query	查寻合肥到北京的航班	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
flight@query	南昌到广州飞机票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
telephone@dial	给曹广义打电话	o b-name i-name i-name o o o
cookbook@query	豆沙包。	b-dishname i-dishname i-dishname o
tvchannel@play	吉林电视台	b-name i-name i-name i-name i-name
tvchannel@play	切换上海频道	o o b-name i-name i-name i-name
news@play	啊，社会新闻。	o o b-category i-category o o o
music@search	帮我查一下周杰伦的歌	o o o o o b-artist i-artist i-artist o o
cookbook@query	干豆角怎么烧？	b-ingredient i-ingredient i-ingredient o o o o
video@query	最新电影	b-timedescr i-timedescr b-category i-category
cookbook@query	请告诉我清蒸桂鱼怎么做？	o o o o b-dishname i-dishname i-dishname i-dishname o o o o
video@query	文艺片	b-tag i-tag b-category
tvchannel@play	湖北电视台高清	b-name i-name i-name i-name i-name b-resolution i-resolution
video@query	胜者即是正义	b-name i-name i-name i-name i-name i-name
cinemas@query	电影院有什么电影？	o o o o o o o o o
health@query	胆结石怎样治疗。	b-keyword i-keyword i-keyword o o o o o
cinemas@query	附近电影院。	o o o o o o
video@query	看千金归来第五集	o b-name i-name i-name i-name b-episode i-episode i-episode
cinemas@query	最新的热门电影是什么呀？	o o o o o o o o o o o o
weather@query	合肥明天的湿度如何	b-location_city i-location_city b-datetime_date i-datetime_date o b-subfocus i-subfocus o o
novel@query	我要看唯美童话小说	o o o b-category i-category i-category i-category o o
translation@translation	汉堡的英语怎么说	b-content i-content o b-target i-target o o o
stock@query	上海宝钢股票	o o b-name i-name o o
radio@launch	收听安徽广播电台。	o o b-location_province i-location_province b-name i-name i-name i-name o
cookbook@query	扬州炒饭	b-dishname i-dishname i-dishname i-dishname
novel@query	查找校园小说沙漏第二部	o o b-category i-category o o b-name i-name o o o
telephone@dial	呼叫广岁	o o b-name i-name
news@play	讯飞语音我想知道山东省东营市今天的新闻。	o o o o o o o o b-location_province i-location_province i-location_province b-location_city i-location_city i-location_city b-datetime_date i-datetime_date o o o o
cookbook@query	豆豉鲮鱼油麦菜	b-dishname i-dishname i-dishname i-dishname i-dishname i-dishname i-dishname
cookbook@query	烧鸡块怎么做？	o b-ingredient i-ingredient o o o o
email@reply	替我回复邮件	o o o o o o
map@route	从二手车市场到八一广场怎么走	o b-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
epg@query	什么电视台什么时间有转播仁心解码2	o o o o o o o o o o o o b-name i-name i-name i-name i-name
news@play	等，请播报新闻	o o o o o o o
video@query	我要看西游记啊	o o o b-name i-name i-name o
app@launch	我把相机打开	o o b-name i-name o o
map@position	迎宾路在哪	b-location_poi i-location_poi i-location_poi o o
video@query	陈真	b-name i-name
epg@query	给我查一下什么时间有播放天天向上	o o o o o o o o o o o o b-name i-name i-name i-name
video@query	你好我想看电影	o o o o o b-category i-category
epg@query	现在哪个频道播放电视剧	b-datetime_time i-datetime_time o o o o o o b-category i-category i-category
cinemas@query	最近有什么影片？	o o o o o o o o
tvchannel@play	打开珠江台	o o b-name i-name i-name
health@query	肩周炎怎么治？	b-keyword i-keyword i-keyword o o o o
train@query	查询泉州到上海的动车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o b-category i-category o
message@send	给秦丽香发信息	o b-name i-name i-name o o o
health@query	糖尿病注意什么？	b-keyword i-keyword i-keyword o o o o o
cookbook@query	灌汤小笼包怎样做。	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
flight@query	四月二十日合肥到深圳的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
message@send	给于海洋发短信	o b-name i-name i-name o o o
map@position	龙王庙在哪里	b-location_poi i-location_poi i-location_poi o o o
video@query	当婆婆遇上妈	b-name i-name i-name i-name i-name i-name
riddle@query	我要猜一个字谜。	o o o o o b-category i-category o
poetry@query	给我搜索唐诗。	o o o o b-dynasty o o
video@query	我想看喜羊羊	o o o b-name i-name i-name
website@open	美女啊帮我打开网页	o o o o o o o o o
poetry@query	我想听首唐诗。	o o o o b-dynasty o o
tvchannel@play	cctv少儿	b-name i-name i-name i-name i-name i-name
train@query	列车深圳到广州	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city
video@query	请帮我放一下剩女保镖	o o o o o o b-name i-name i-name i-name
cinemas@query	热门电影有哪些啊？	o o o o o o o o o
map@route	飞机场怎么走	b-endloc_poi i-endloc_poi i-endloc_poi o o o
cookbook@query	番红烧肉的做法。	o b-dishname i-dishname i-dishname o o o o
cookbook@query	怎么样煮方便面。	o o o b-dishname i-dishname i-dishname i-dishname o
cookbook@query	用菜籽油做面包	o b-ingredient i-ingredient i-ingredient o b-dishname i-dishname
message@send	给黄卫国发短信	o b-name i-name i-name o o o
email@reply	我要回复这条邮件	o o o o o o o o
translation@translation	翻译我今天要去打网球	o o b-content i-content i-content i-content i-content i-content i-content i-content
message@sendcontacts	把鱼苗的电话号码发给徐景明	o b-name i-name o o o o o o o b-receiver i-receiver i-receiver
translation@translation	香蕉的英语怎么说	b-content i-content o b-target i-target o o o
poetry@query	背首杜甫的诗啊？	o o b-author i-author o o o o
cinemas@query	我想知道环球影视明天播放什么电影	o o o o o o o o b-datetime_date i-datetime_date o o o o o o
poetry@query	来一首咏柳。	o o o b-name i-name o
translation@translation	很高兴认识你英语怎么说啊	b-content i-content i-content i-content i-content i-content b-target i-target o o o o
cookbook@query	怎么做煎饼？	o o o b-dishname i-dishname o
cookbook@query	石螺怎么煮	b-ingredient i-ingredient o o o
poetry@query	若相惜不弃下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
health@query	头晕该怎么办？	b-keyword i-keyword o o o o o
cookbook@query	糖醋里脊啊，啊	b-dishname i-dishname i-dishname i-dishname o o o
cookbook@query	炒豆腐。	b-dishname i-dishname i-dishname o
cookbook@query	怎么炒南瓜？	o o b-dishname i-dishname i-dishname o
telephone@dial	打电话给奥巴马	o o o o b-name i-name i-name
telephone@dial	呼叫小惠	o o b-name i-name
video@query	狄仁杰之通天帝国视频	b-name i-name i-name i-name i-name i-name i-name i-name o o
news@play	泰州新闻。	b-location_city i-location_city o o o
music@play	哦来一首忘情水	o o o o b-song i-song i-song
contacts@create	新建联系人天天	o o o o o b-name i-name
cookbook@query	青鱼的做法。	b-ingredient i-ingredient o o o o
email@launch	给我看新邮件	o o o o o o
music@play	来一首不可以。	o o o b-song i-song i-song o
music@search	帮我找一首我的好兄弟	o o o o o o o b-song i-song i-song
website@open	打开新浪网我肏	o o b-name i-name i-name o o
cookbook@query	炖肉	b-dishname i-dishname
flight@query	查一下从南京到上海的航班	o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	小猪哨糖醋排骨的做法。	o o o b-dishname i-dishname i-dishname i-dishname o o o o
video@query	智慧树	b-name i-name i-name
video@query	查雷神电影	o b-name i-name b-category i-category
email@replay_all	我想全部回应	o o o o o o
tvchannel@play	甘肃台	b-name i-name i-name
cookbook@query	红烧鱼怎么烧啊？	b-dishname i-dishname i-dishname o o o o o
poetry@query	来时打来首唐诗绝句。	o o o o o b-dynasty o b-name i-name o
epg@query	帮我查查北京电视台-6上周六开始美味的想念呢	o o o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date i-datetime_date o o b-name i-name i-name i-name i-name o
cookbook@query	怎么做洋葱炒蛋？	o o o b-dishname i-dishname i-dishname i-dishname o
bus@query	北京到成都的汽车时刻表。	b-src i-src o b-dest i-dest o o o o o o o
telephone@dial	我要打电话给洪云刚	o o o o o o b-name i-name i-name
cookbook@query	鸡蛋怎么做？	b-ingredient i-ingredient o o o o
cookbook@query	地三鲜怎么做？你？	b-dishname i-dishname i-dishname o o o o o o
cookbook@query	我说吃飞蟹，怎么做？	o o o b-ingredient i-ingredient o o o o o
website@open	我要上中学学科网	o o o b-name i-name i-name i-name i-name
music@play	王菲传奇。	b-artist i-artist b-song i-song o
video@query	锁梦楼	b-name i-name i-name
stock@query	居然股份股票怎么样	b-name i-name i-name i-name o o o o o
news@play	今天有什么新闻呢。	b-datetime_date i-datetime_date o o o o o o o
train@query	到北京的火车班次	o b-endloc_city i-endloc_city o o o o o
message@send	发短信给贤想快点给我送早饭开门我饿死了	o o o o b-name b-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content
website@open	打开中关村在线网	o o b-name i-name i-name i-name i-name o
poetry@query	来首甘露寺。	o o b-name i-name i-name o
telephone@dial	打电话给小女儿	o o o o b-name i-name i-name
bus@query	查一下运城到临汾的汽车。	o o o b-src i-src o b-dest i-dest o o o o
tvchannel@play	北京财经台	b-name i-name i-name i-name i-name
video@query	女人的颜色六十九集	b-name i-name i-name i-name i-name b-episode i-episode i-episode i-episode
music@play	随便唱首歌。	o o o o o o
video@query	刘诗诗主演过的电影	b-artist i-artist i-artist b-artistrole i-artistrole o o b-category i-category
music@play	播放黑猫警长。	o o b-song i-song i-song i-song o
poetry@query	背首静夜思来听一下。	o o b-name i-name i-name o o o o o
epg@query	搜一下今天中午开始放郭的秀	o o o b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o o b-name i-name i-name
flight@query	帮我看一下明天去北京的飞机	o o o o o b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
message@send	给谢小培发短信今晚一起吃饭	o b-name i-name i-name o o o b-content i-content i-content i-content i-content i-content
video@query	我想看爱情闯进门	o o o b-name i-name i-name i-name i-name
cookbook@query	虾炒蛋怎么做？	b-dishname i-dishname i-dishname o o o o
cookbook@query	鲤鱼怎么做？	b-ingredient i-ingredient o o o o
map@route	鹰潭到景德镇	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city i-endloc_city
translation@translation	请翻译苹果	o o o b-content i-content
music@play	放首陈奕迅的十年	o o b-artist i-artist i-artist o b-song i-song
poetry@query	说一首唐诗吧！	o o o b-dynasty o o o
epg@query	焦点访谈什么时候播	b-name i-name i-name i-name o o o o o
video@query	查查13年的一站到底	o o b-datetime_date i-datetime_date i-datetime_date o b-name i-name i-name i-name
poetry@query	来首李白的诗集。	o o b-author i-author o o o o
cookbook@query	宫爆鸡丁的菜谱。	b-dishname i-dishname i-dishname i-dishname o o o o
cookbook@query	咖喱牛腩怎么做	b-dishname i-dishname i-dishname i-dishname o o o
lottery@number_query	双色球的开奖号码是多少？	b-name i-name i-name o o o o o o o o o
cookbook@query	油焖大虾怎么做	b-dishname i-dishname i-dishname i-dishname o o o
epg@query	查查最近一周cctv-4美洲有放我爱记歌词么	o o b-datetime_date i-datetime_date i-datetime_date i-datetime_date b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o b-name i-name i-name i-name i-name o
health@query	腹泻。	b-keyword i-keyword o
poetry@default	老朗诵首古诗。	o o o o o o o
video@query	播放非诚勿扰	o o b-name i-name i-name i-name
cookbook@query	那好，那你告诉我西红柿炒鸡蛋，怎么去做？	o o o o o o o o b-dishname i-dishname i-dishname i-dishname i-dishname i-dishname o o o o o o
news@play	来个最新新闻。	o o b-keyword i-keyword o o o
poetry@query	同是天涯沦落人下一句。	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o
message@send	发送短信给黄启超	o o o o o b-name i-name i-name
video@query	武间道	b-name i-name i-name
translation@translation	你怎么了英文怎么讲	b-content i-content i-content i-content b-target i-target o o o
message@send	给查乐发短信	o b-name i-name o o o
map@route	怎么去农业银行	o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi
video@query	铁甲钢拳	b-name i-name i-name i-name
epg@query	湖南卫视电视节目表	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o
news@play	我要点新闻。	o o o o o o
map@route	到安徽芜湖怎么走	o b-endloc_province i-endloc_province b-endloc_city i-endloc_city o o o
cookbook@query	不蒸了牛肉丸	o o o b-dishname i-dishname i-dishname
website@open	开启雅虎	o o b-name i-name
cookbook@query	凉拌海蜇怎么做好吃？	b-dishname i-dishname i-dishname i-dishname o o o o o o
message@send	给杨燕姐发短信	o b-name i-name i-name o o o
message@send	我要发信息给高鹤航	o o o o o o b-name i-name i-name
cinemas@query	周二电影。	b-datetime_date i-datetime_date o o o
translation@translation	中国移动通信的英语怎么说	b-content i-content i-content i-content i-content i-content o b-target i-target o o o
music@play	放首歌给我听吧	o o o o o o o
bus@query	从汕头到西安的汽车。	o b-src i-src o b-dest i-dest o o o o
map@route	从科大讯飞到天鹅湖怎么走能不走高速	o b-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi o b-endloc_poi i-endloc_poi i-endloc_poi o o o o o o o o
music@play	来一首歌尔勤县	o o o o o o o
video@query	命运派对	b-name i-name i-name i-name
train@query	有上海到昆山的火车吗	o b-startloc_city i-startloc_city o b-endloc_area i-endloc_area o o o o
lottery@number_query	第50000期福彩双色球	o b-absissue i-absissue i-absissue i-absissue i-absissue o b-category i-category b-name i-name i-name
match@query	我要听中超第二十，八轮的结果。	o o o b-category i-category o o o o o o o o o o
cookbook@query	大闸蟹的做法。	b-dishname i-dishname i-dishname o o o o
cookbook@query	凉皮的制作方法。	b-dishname i-dishname o o o o o o
email@forward	我想转发这封邮件	o o o o o o o o
telephone@dial	打电话给王大头	o o o o b-name i-name i-name
contacts@query	查看婷婷的号码	o o b-name i-name o o o
news@play	k新闻想听新闻。	o o o o o o o o
flight@query	明天回广州的航班	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
contacts@create	添加一条通讯录姓名葛勇手机号码189571642496	o o o o o o o o o b-name i-name o o o o b-code i-code i-code i-code i-code i-code i-code i-code i-code i-code i-code i-code
translation@translation	我来自美国是一个地地道道的美国人用英语怎么说	b-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
cookbook@query	土豆粉怎么做好吃？	b-ingredient i-ingredient i-ingredient o o o o o o
cookbook@query	红烧肉怎么煮啊	b-dishname i-dishname i-dishname o o o o
cookbook@query	日本豆腐的做法。	b-ingredient i-ingredient i-ingredient i-ingredient o o o o
telephone@dial	打一下公司张总的电话	o o o b-category i-category b-name i-name o o o
health@query	更年期综合症。	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword o
stock@query	上海能源这支股票怎么样	b-name i-name i-name i-name o o o o o o o
message@send	给周玉发短信	o b-name i-name o o o
map@position	北京西站在哪	b-location_poi i-location_poi i-location_poi i-location_poi o o
news@play	最近有什么热门新闻了。	b-datetime_date i-datetime_date o o o b-category i-category o o o o
stock@query	我想查询上证指数的股票	o o o o b-name i-name i-name i-name o o o
poetry@query	给我来首唐诗三百首。	o o o o b-dynasty o o o o o
health@query	关节痛怎么办？	b-keyword i-keyword i-keyword o o o o
cookbook@query	螃蟹怎么蒸？	b-ingredient i-ingredient o o o o
match@query	中超的比赛预告。	b-category i-category o o o b-type i-type o
telephone@dial	给张宁打电话	o b-name i-name o o o
riddle@query	我要猜字谜不笨有答案。	o o o b-category i-category o o o o o o
music@play	赵唱一首歌吧	o o o o o o
cookbook@query	肉炒饭怎么做？	b-dishname i-dishname i-dishname o o o o
epg@query	我要看湖南卫视快乐大本营	o o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-name i-name i-name i-name i-name
news@play	打开新闻	o o o o
tvchannel@play	新闻解码	b-name i-name i-name i-name
news@play	我想听，新闻。	o o o o o o o
website@open	打开昆明三六零手机网	o o b-name i-name i-name i-name i-name i-name i-name i-name
message@send	发信息给瀌瀌	o o o o b-name i-name
health@query	类风湿怎么治？	b-keyword i-keyword i-keyword o o o o
telephone@dial	给高兴打电话	o b-name i-name o o o
website@open	苏宁易购	b-name i-name i-name i-name
app@launch	进入手机qq	o o o o b-name i-name
train@query	北京到镇江的火车	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
epg@query	我想看中央六台的电影。	o o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel o b-category i-category o
cookbook@query	小鸡炖蘑菇的做法爸	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
tvchannel@play	打开江苏卫视	o o b-name i-name i-name i-name
cookbook@query	鱼香肉丝，怎么做？不？	b-dishname i-dishname i-dishname i-dishname o o o o o o o
translation@translation	中国制用英文怎么说	b-content i-content i-content o b-target i-target o o o
health@query	肾积水怎么治？	b-keyword i-keyword i-keyword o o o o
match@query	2013年亚洲冠军联赛恒广州恒大比赛时间。	b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date b-category i-category i-category i-category i-category i-category o b-name i-name i-name i-name o o o o o
health@query	包皮包茎	b-keyword i-keyword i-keyword i-keyword
epg@query	明天什么节目啊？	b-datetime_date i-datetime_date o o b-category i-category o o
bus@query	从南昌到长沙的汽车。	o b-src i-src o b-dest i-dest o o o o
cinemas@query	哦哦，最新的电影。	o o o o o o o o o
train@query	枣庄到淄博的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
stock@query	查询华峰氨纶的股票	o o b-name i-name i-name i-name o o o
epg@query	昨天晚上湖南卫视演什么	b-datetime_date i-datetime_date b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
music@play	播放郁可唯的歌	o o b-artist i-artist i-artist o o
cookbook@query	讯飞语点请你搜索一下番茄炒蛋怎么做？	o o o o o o o o o o b-dishname i-dishname i-dishname i-dishname o o o o
tvchannel@play	btvkaku少儿	b-name i-name i-name i-name i-name i-name i-name i-name i-name
cookbook@query	火腿肠怎么炒好吃	b-ingredient i-ingredient i-ingredient o o o o o
poetry@query	来一句唐诗呗！	o o o b-dynasty o o o
translation@translation	福尔摩探案急翻译成英文	b-content i-content i-content i-content i-content i-content o o o b-target i-target
cookbook@query	炸馒头片	b-dishname i-dishname i-dishname i-dishname
video@query	播放落日批示	o o b-name i-name o o
translation@translation	完毕用英文怎么说	b-content i-content o b-target i-target o o o
novel@query	陈忠实的爱情小说《白鹿原》	b-author i-author i-author o b-category i-category o o o b-name i-name i-name o
music@play	唱一首简单爱	o o o b-song i-song i-song
epg@query	哪个电视台在放神雕侠侣。	o o o o o o o b-name i-name i-name i-name o
health@query	内痔怎么办？	b-keyword i-keyword o o o o
message@send	发信息给苏建江	o o o o b-name i-name i-name
health@query	痛经。	b-keyword i-keyword o
video@query	美国热门的恐怖电影	b-area i-area b-popularity i-popularity o b-tag i-tag b-category i-category
epg@query	现在有什么好看的电视剧吗？	b-datetime_time i-datetime_time o o o o o o b-category i-category i-category o o
music@play	特莫文蔚的阴天。	o b-artist i-artist i-artist o b-song i-song o
news@play	报点新闻给我听。	o o o o o o o o
epg@query	金鹰卡通今天晚上放什么节目？	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o o o o o
app@launch	请帮我打开uc	o o o o o b-name i-name
news@play	温州今天的新闻	b-location_city i-location_city b-datetime_date i-datetime_date o o o
music@play	我想听求佛。	o o o b-song i-song o
website@open	看网易财经	o b-name i-name i-name i-name
website@open	打开宽带商务网站	o o b-name i-name i-name i-name i-name i-name
flight@query	有没有下周二到贵阳的航班	o o o b-startdate_date i-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
epg@query	央视三台现在播放什么节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_time i-datetime_time o o o o o o
poetry@query	来首归家。	o o b-name i-name o
epg@query	15号的我愿意	b-datetime_date i-datetime_date i-datetime_date o b-name i-name i-name
message@send	给丹丹发信息我一会儿就回来别等我了	o b-name i-name o o o b-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content
match@query	广州恒大的赛程。	b-name i-name i-name i-name o o o o
email@reply	我要答复邮件	o o o o o o
flight@query	从从合肥到北京的航班	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
epg@query	贵州卫视今晚看什么电视剧？	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_time i-datetime_time o o o b-category i-category i-category o
cookbook@query	鱼香肉丝哦	b-dishname i-dishname i-dishname i-dishname o
cinemas@date_query	咱们结婚吧什么时候播出	b-name i-name i-name i-name i-name o o o o o o
app@launch	打开汽车之家	o o b-name i-name i-name i-name
health@query	骨折了怎么办？	b-keyword i-keyword o o o o o
video@query	需要你帮我推荐一下电影	o o o o o o o o o b-category i-category
epg@query	电视台在播什么节目	o o o o o o o o o
map@position	查一下沿途的科大讯飞	o o o o o o b-location_poi i-location_poi i-location_poi i-location_poi
telephone@dial	给万结打电话	o b-name i-name o o o
website@open	打开猫扑	o o b-name i-name
radio@launch	能帮我收听淄博音乐广播	o o o o o b-name i-name i-name i-name i-name i-name
flight@query	明天到佛山的航班	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
train@query	厦门到福建建阳的火车是几点呢	b-startloc_city i-startloc_city o b-endloc_province i-endloc_province b-endloc_area i-endloc_area o o o o o o o
train@query	上饶到南昌的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
match@query	宏大俱乐部赛程。	b-name i-name o o o o o o
train@query	杭州到北京的火车班次	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o
lottery@number_query	查看七乐彩的得奖号码	o o b-name i-name i-name o o o o o
